1.wav|otig is der weg, wss fihrt in stedtel arein.|otig is der weg, wss fihrt in stedtel arein.
142.wav|er is geseen euf asa art, as men wil hot men gekent meinen, as er sizt i beim tisch, un s men wil ken men meinen, s er sizt nischt beim tsch.|er is geseen euf asa art, as men wil hot men gekent meinen, as er sizt i beim tisch, un s men wil ken men meinen, s er sizt nischt beim tsch.
143.wav|er hot gekukt euf epsteinen fun der heuch.|er hot gekukt euf epsteinen fun der heuch.
144.wav|nor di diensst, weist euss, hot sich tueh gewen un ihm gemust rechenen, as er sizt euch beim tisch, worum si hot far ihm euch anidergestelt a teler.|nor di diensst, weist euss, hot sich tueh gewen un ihm gemust rechenen, as er sizt euch beim tisch, worum si hot far ihm euch anidergestelt a teler.
145.wav|er, heisst ess, hot sich|er, heisst ess, hot sich
146.wav|euch tueh gewen, un zugerukt sich zum tisch essendik euch euf asa art, as men wil ken men meinen, as er esst beim tisch, un as men wil ken men meinen, as er fersucht nor.|euch tueh gewen, un zugerukt sich zum tisch essendik euch euf asa art, as men wil ken men meinen, as er esst beim tisch, un as men wil ken men meinen, as er fersucht nor.
147.wav|in heuf is izt gor an ander leben.|in heuf is izt gor an ander leben.
148.wav|a far purim-tog.|a far purim-tog.
149.wav|er winter is noch euf der erd, ober der frihling schmeichelt scheun fun himel arob, un fun ale fier seiten welt.|er winter is noch euf der erd, ober der frihling schmeichelt scheun fun himel arob, un fun ale fier seiten welt.
150.wav|der langgefreurener schnee, woss is durch'n winter a zweite erd geworen, zurint un zugeht wi schnee in wasser.|der langgefreurener schnee, woss is durch'n winter a zweite erd geworen, zurint un zugeht wi schnee in wasser.
151.wav|der sun'ss lichtige techter di strahlen blondsschen in der blote arum.|der sun'ss lichtige techter di strahlen blondsschen in der blote arum.
152.wav|in heuf iber di kep flihen teuben ahin un zurik, kumen euf der erd arob, chapen a kerendil hober un mit a gdulh ferspreiten sei seiere weisse fliglen un machen plith.|in heuf iber di kep flihen teuben ahin un zurik, kumen euf der erd arob, chapen a kerendil hober un mit a gdulh ferspreiten sei seiere weisse fliglen un machen plith.
153.wav|in heuf seinen kerner hober ferworfen, der heuf is in schfe eingetunkt.|in heuf seinen kerner hober ferworfen, der heuf is in schfe eingetunkt.
154.wav|un hihner drehen sich, piken di kerndlich un warfen sich ieden far di fiss.|un hihner drehen sich, piken di kerndlich un warfen sich ieden far di fiss.
155.wav|beim stal euf a keit, unter a beidel ligt burek, a greusser kudlowater hund.|beim stal euf a keit, unter a beidel ligt burek, a greusser kudlowater hund.
156.wav|er stekt sein diken kop areuss un wart euf a befehl.|er stekt sein diken kop areuss un wart euf a befehl.
157.wav|in heuf, wi in ischeihu hnbi'ss zeiten, drehen sich rum a weisse zig mit gedrehte herner un a nidriger schepss, woss hoben zusamen schussfuss gemacht un zipen zusamen fun di bintlech hei, woss ligen euf der fuhr in miten heuf.|in heuf, wi in ischeihu hnbi'ss zeiten, drehen sich rum a weisse zig mit gedrehte herner un a nidriger schepss, woss hoben zusamen schussfuss gemacht un zipen zusamen fun di bintlech hei, woss ligen euf der fuhr in miten heuf.
158.wav|euf der zweiter seit heuf ligen eingefreurene breter ss lezer, euu- der halb eingesunken in schnee.|euf der zweiter seit heuf ligen eingefreurene breter ss lezer, euu- der halb eingesunken in schnee.
159.wav|iungen krichen iber d klezer, dergreichen bis'n speichler.|iungen krichen iber d klezer, dergreichen bis'n speichler.
160.wav|di thiren fun speichschr stehen ofen, un far di thiren steht a greusse wog.|di thiren fun speichschr stehen ofen, un far di thiren steht a greusse wog.
161.wav|iber legt reuf gewicht euf der wog, un er schreiber (a deerman in a pelel un in a futernem kolner) halt a bichel in der hnd un schreibt di gewicht in bichel rein.|iber legt reuf gewicht euf der wog, un er schreiber (a deerman in a pelel un in a futernem kolner) halt a bichel in der hnd un schreibt di gewicht in bichel rein.
162.wav|durch idi ofene fortke kuen arein zufohren ein fuhr noch der zweiter, msch nehmt seklech arob, men wegt ob, un men trogt sei k sch iichler adeis.|durch idi ofene fortke kuen arein zufohren ein fuhr noch der zweiter, msch nehmt seklech arob, men wegt ob, un men trogt sei k sch iichler adeis.
163.wav|hote chd iung bei di ferd, a weuer breibeiniger, fun r ichskl'ss gwdi, mit a schwarz, obgebrent gesicht, mit|hote chd iung bei di ferd, a weuer breibeiniger, fun r ichskl'ss gwdi, mit a schwarz, obgebrent gesicht, mit
164.wav|lichtige zwei greusse eugen, woss kuken fun erweiten wi zwei murkazen, fihrt areuss fun stal zwei heuche ferd, bulaness.|lichtige zwei greusse eugen, woss kuken fun erweiten wi zwei murkazen, fihrt areuss fun stal zwei heuche ferd, bulaness.
165.wav|einss fun di ferd hot euf'n steren a schwarzen runden flek.|einss fun di ferd hot euf'n steren a schwarzen runden flek.
166.wav|suoss hot fun zwischen sein greuen schokolad-kolier wi a schwarzeug gescheint.|suoss hot fun zwischen sein greuen schokolad-kolier wi a schwarzeug gescheint.
167.wav|di hor beim halds seinen bei beide ferd gewen zukemt un eingeflochmen in flechtlech.|di hor beim halds seinen bei beide ferd gewen zukemt un eingeflochmen in flechtlech.
168.wav|di hober-kinder seinen newen di lieblingen fun r' ichskl'n.|di hober-kinder seinen newen di lieblingen fun r' ichskl'n.
169.wav|sei hoben ihm ferstanen hoben gewusst, wen der weg is neutig.|sei hoben ihm ferstanen hoben gewusst, wen der weg is neutig.
170.wav|di beitsch hot men nor far sei alss parad gehalten.|di beitsch hot men nor far sei alss parad gehalten.
171.wav|ess is noch nischt geeen der fal, as sei solen ihm schbss in weg iberlosen.|ess is noch nischt geeen der fal, as sei solen ihm schbss in weg iberlosen.
172.wav|sei hoben epess wi gefihlt, wen ess is freitog un men darf sich eur schbss heim eilen.|sei hoben epess wi gefihlt, wen ess is freitog un men darf sich eur schbss heim eilen.
173.wav|er hot sich gekent euf sei ferlosen.|er hot sich gekent euf sei ferlosen.
174.wav|ss sen sei flegen asa stikel weisen, hot er sei alein mit sein: hand geglet.|ss sen sei flegen asa stikel weisen, hot er sei alein mit sein: hand geglet.
175.wav|gesogt hot men, as r' ichskl'ss ferd seinen nschmuss funalte alte beli-chubuss, woss seiere weksslen ligen noch bei ihm ich schank, un sei kenen nischt kein ruh in kbr hoben, bis sei welen: ihm dem chub nischt obzohlen.|gesogt hot men, as r' ichskl'ss ferd seinen nschmuss funalte alte beli-chubuss, woss seiere weksslen ligen noch bei ihm ich schank, un sei kenen nischt kein ruh in kbr hoben, bis sei welen: ihm dem chub nischt obzohlen.
176.wav|note hot getrogen sein winterdik kur pelzel mit langsch lederne stiwel un euss'n kop doss selnerische rundige futern hitel, euf welcher ess hot nor doss blechil gefehlt.|note hot getrogen sein winterdik kur pelzel mit langsch lederne stiwel un euss'n kop doss selnerische rundige futern hitel, euf welcher ess hot nor doss blechil gefehlt.
177.wav|un: mit a min rchbuss'keit hot er seine chbrim zugefihrt zum wogen, sei di chometkess mit di meschene kanten euf di helser onge-i mun, un mit dem neiem gespan eussgeziert.|un: mit a min rchbuss'keit hot er seine chbrim zugefihrt zum wogen, sei di chometkess mit di meschene kanten euf di helser onge-i mun, un mit dem neiem gespan eussgeziert.
178.wav|dernoch hot er di blohe benderne leizess beim dischel ferbunden un er hot sich genumen zum gesess.|dernoch hot er di blohe benderne leizess beim dischel ferbunden un er hot sich genumen zum gesess.
179.wav|antik hot fun beudem di hokess mit di strik arobgenumen un sei unter'n gesess ferpakt.|antik hot fun beudem di hokess mit di strik arobgenumen un sei unter'n gesess ferpakt.
180.wav|areingehendik in stal, hot derweil note in fensster fwּ er kich an eug geworfen, sein eug hot sein schlichuss erfilt, un bald noch ihm hot sich nochgelost iente doss dienss meidel.|areingehendik in stal, hot derweil note in fensster fwּ er kich an eug geworfen, sein eug hot sein schlichuss erfilt, un bald noch ihm hot sich nochgelost iente doss dienss meidel.
181.wav|doss reute, gesunde blut, woss hot in ire dik fleischige hend gerinen, hot durch dem zurissenem kaften areussgesprozt.|doss reute, gesunde blut, woss hot in ire dik fleischige hend gerinen, hot durch dem zurissenem kaften areussgesprozt.
182.wav|ihre schwarze loken iberdn reuten gesicht, un|ihre schwarze loken iberdn reuten gesicht, un
183.wav|di schwarze eugen mit di schwarze, scharfe bremen in ihr iungblutig gesicht hoben werter geredt, feier un flam.|di schwarze eugen mit di schwarze, scharfe bremen in ihr iungblutig gesicht hoben werter geredt, feier un flam.
184.wav|si is flink arein in stal noch noten, un nischt reidendik kein wort, hot si fun unter'n kaften a halbe gekochte huhn areu genumen un ihm derlangt.|si is flink arein in stal noch noten, un nischt reidendik kein wort, hot si fun unter'n kaften a halbe gekochte huhn areu genumen un ihm derlangt.
185.wav|note hot ess zugenumen, epess wi ess kumt ihm doss.|note hot ess zugenumen, epess wi ess kumt ihm doss.
186.wav|si hot noch gewart.|si hot noch gewart.
187.wav|er hot gewusst euf woss.|er hot gewusst euf woss.
188.wav|un weil si hot gewolt, wil er duk nischt.|un weil si hot gewolt, wil er duk nischt.
189.wav|si heubt euch a streu un macht sich areussgehendik.|si heubt euch a streu un macht sich areussgehendik.
190.wav|izt wil er.|izt wil er.
191.wav|er chapt si on, nehmt si fesst rum mit beide hend, un haltendik in di oremss di beitsch, sotelt er ihr on a groben kusch euf der bak.|er chapt si on, nehmt si fesst rum mit beide hend, un haltendik in di oremss di beitsch, sotelt er ihr on a groben kusch euf der bak.
192.wav|nu, solsstu aseu leben, eub wesst mit mir chssunh hoben, sogt si zu ihm, aweknehmendik ihr gesicht.|nu, solsstu aseu leben, eub wesst mit mir chssunh hoben, sogt si zu ihm, aweknehmendik ihr gesicht.
193.wav|flinker, di bel-hbiss'te geht, chap.|flinker, di bel-hbiss'te geht, chap.
194.wav|macht er zu ihr un stupt si areuss.|macht er zu ihr un stupt si areuss.
195.wav|si derschrekt si.ch, chapt sich euf, ober bald iberzeigt si sich, as er hot si obgenart, bleibt si stern bei der schwel schn stal:|si derschrekt si.ch, chapt sich euf, ober bald iberzeigt si sich, as er hot si obgenart, bleibt si stern bei der schwel schn stal:
196.wav|zubrechen solsst du di hend un fiss euf'n weg!|zubrechen solsst du di hend un fiss euf'n weg!
197.wav|sogt si mit a schelmisch gelechter areussleufendik.|sogt si mit a schelmisch gelechter areussleufendik.
198.wav|du, ssuka eine, lost er sich noch ihr.|du, ssuka eine, lost er sich noch ihr.
199.wav|doss schreiberel bei der wog, bemerkendik wi si leuft areuss fun stal, winkt er zu antiken dem heuf-wechter.|doss schreiberel bei der wog, bemerkendik wi si leuft areuss fun stal, winkt er zu antiken dem heuf-wechter.
200.wav|pscha krew lost sich antik noch ihr.|pscha krew lost sich antik noch ihr.
201.wav|si stekt areuss euf sei di zung un wert ferschwunden in heus fun der kich.|si stekt areuss euf sei di zung un wert ferschwunden in heus fun der kich.
202.wav|a knak fun notess beisch un an esuss'dig resch'n fun eder hoben zu wissen gegeben, as di fuhr steht scheun far der thir gespant.|a knak fun notess beisch un an esuss'dig resch'n fun eder hoben zu wissen gegeben, as di fuhr steht scheun far der thir gespant.
203.wav|un bald hot men ongeheuben zu tronen fun stub euf'ch suogen peklech un pekelech.|un bald hot men ongeheuben zu tronen fun stub euf'ch suogen peklech un pekelech.
204.wav|d' ichskl rihrt sich nischt in weg|d' ichskl rihrt sich nischt in weg
205.wav|arein ohn zrh ldrch.|arein ohn zrh ldrch.
206.wav|r' ichskl hot sich gewisen in greussen, breiten schopen-pelz, dem winterdigen palto mit di breite arbel hot men iber'n gesess gelegt (worum a tog is gewen a schehner, der frosst hot gelost, un di sun hot in himel gelacht), noch ihm sein weib mlchh'le mit a brchh euf di lipen, un chbrh kinderlech, kleine un greusse, theil haltendik in di hend gmruss mitgenumen in chdr arein noch'n onbeissen, klenere beigel mit puter, noch theil hot der behelfer untergestupt: in chdr arein.|r' ichskl hot sich gewisen in greussen, breiten schopen-pelz, dem winterdigen palto mit di breite arbel hot men iber'n gesess gelegt (worum a tog is gewen a schehner, der frosst hot gelost, un di sun hot in himel gelacht), noch ihm sein weib mlchh'le mit a brchh euf di lipen, un chbrh kinderlech, kleine un greusse, theil haltendik in di hend gmruss mitgenumen in chdr arein noch'n onbeissen, klenere beigel mit puter, noch theil hot der behelfer untergestupt: in chdr arein.
207.wav|di kinder ober, mehrsstent.heil in pelzlech ongetun, warten arum der fuhr.|di kinder ober, mehrsstent.heil in pelzlech ongetun, warten arum der fuhr.
208.wav|seideschi, sol der seideschi fohren gesunterheit!|seideschi, sol der seideschi fohren gesunterheit!
209.wav|bleibt gesund un lerent mit chschk!|bleibt gesund un lerent mit chschk!
210.wav|hot sei der sil iitlichen besunder di hand gegeben, fun der heusen-keschene n greussen beitel areussgenumen un di kinder lezt-geld getheile|hot sei der sil iitlichen besunder di hand gegeben, fun der heusen-keschene n greussen beitel areussgenumen un di kinder lezt-geld getheile
211.wav|fun dem fensster fun zwischen di zwei gehoftene gardinen hot a meidel'ss gesicht areussgescheint.|fun dem fensster fun zwischen di zwei gehoftene gardinen hot a meidel'ss gesicht areussgescheint.
212.wav|doss halbe gesicht, an eidel gereitelte bak mit a schwarzen seidenem lok un mit a blohen band fertnden, hot eidel un arisstokratisch fun der seuiten zum foter ahin geschokelt:|doss halbe gesicht, an eidel gereitelte bak mit a schwarzen seidenem lok un mit a blohen band fertnden, hot eidel un arisstokratisch fun der seuiten zum foter ahin geschokelt:
213.wav|fohr gesundereit, tateschi!|fohr gesundereit, tateschi!
214.wav|d' ichskl is euss'n wogen areuf.|d' ichskl is euss'n wogen areuf.
215.wav|sizendik euf'n wogen, hot er noch epess mit r' tubih'n, sein mensch, geredt, gesegent sich, un ahin geschokelt zu mlchh'len: bleib gesund, bleib gesund!|sizendik euf'n wogen, hot er noch epess mit r' tubih'n, sein mensch, geredt, gesegent sich, un ahin geschokelt zu mlchh'len: bleib gesund, bleib gesund!
216.wav|dernoch zum meiel'ss lichtigen gesicht: bleib gesund, lh'le!|dernoch zum meiel'ss lichtigen gesicht: bleib gesund, lh'le!
217.wav|un zu di einiklech fun wogen ongesogt:|un zu di einiklech fun wogen ongesogt:
218.wav|ihr solt begehren zu lernen!|ihr solt begehren zu lernen!
219.wav|in a winkel is iente gestanen.|in a winkel is iente gestanen.
220.wav|ihre hend hot si euf'n harz ferlegt un gekukt euf noten, wi er sizt sich steif un stark euf dem karschel in sein kurz pelzel, un doss mmsr'ische, weulesche hitele winkt arob zu ihr.|ihre hend hot si euf'n harz ferlegt un gekukt euf noten, wi er sizt sich steif un stark euf dem karschel in sein kurz pelzel, un doss mmsr'ische, weulesche hitele winkt arob zu ihr.
221.wav|er halt di leizess is der hand, greit in der welt sich zu losen, wi seine ferd, di chbrim, woss kenen nischt einstehn un haken msch seiere podkowess euf di steiner.|er halt di leizess is der hand, greit in der welt sich zu losen, wi seine ferd, di chbrim, woss kenen nischt einstehn un haken msch seiere podkowess euf di steiner.
222.wav|iente hot geschmeichelt.|iente hot geschmeichelt.
223.wav|notess a knal fun der beitsch hot ihr a gruss ongegeben: bleib gesund, iente!|notess a knal fun der beitsch hot ihr a gruss ongegeben: bleib gesund, iente!
224.wav|di ssopendige ferd hoben sich in der welt gelost, eussmeidendik doss stile, ruhige, frih-morgendige stodt-gessel un note mit'n selnerischen hitel is ergez-wu ferschwunden geworen.|di ssopendige ferd hoben sich in der welt gelost, eussmeidendik doss stile, ruhige, frih-morgendige stodt-gessel un note mit'n selnerischen hitel is ergez-wu ferschwunden geworen.
225.wav|in der stub bei r' ichskl'n is izt stil.|in der stub bei r' ichskl'n is izt stil.
226.wav|der eulm hot di gescheften ongemacht.|der eulm hot di gescheften ongemacht.
227.wav|di fremde, wo seinen beinacht gekumen, hoben seierss ferkeuft, eingespant un obgelost seier ort andere ssuchrim, woss uelen kumen bei der nacht.|di fremde, wo seinen beinacht gekumen, hoben seierss ferkeuft, eingespant un obgelost seier ort andere ssuchrim, woss uelen kumen bei der nacht.
