ashtetl-1|אָטיג איז דער װעג, װאס פיהרט אין „שטעדטעל" אַרײן.|אָטיג איז דער װעג, װאס פיהרט אין „שטעדטעל" אַרײן.
ashtetl-100|ש, װאָס אײנער האָט עפּעס מיט'ן צװײטען ; אָער גלאַט אַזױ, אַז אַ יוד װיל זיך דרעהען אין אַ „געשעפט", אָדער אַז אַ יונגערמאַן נעהט דעם ערשטען טריט פון קעסט אַראָב און װיל אַרײנטרעטען אין האַנדעל, דרעהט מען זיך צוערשט אין „שטוב".|ש, װאָס אײנער האָט עפּעס מיט'ן צװײטען ; אָער גלאַט אַזױ, אַז אַ יוד װיל זיך דרעהען אין אַ „געשעפט", אָדער אַז אַ יונגערמאַן נעהט דעם ערשטען טריט פון קעסט אַראָב און װיל אַרײנטרעטען אין האַנדעל, דרעהט מען זיך צוערשט אין „שטוב".
ashtetl-101|דאָס איז דאָס „בית המדרש" פון האַנדעל.|דאָס איז דאָס „בית המדרש" פון האַנדעל.
ashtetl-102|בײ דער „שטוב" איז אָבגעזונדערט אַ שטיבעל, „דאָס קאַבי נעטעל" הײסט עק, פאַר ר' יחזקאל'ן אַלײן.|בײ דער „שטוב" איז אָבגעזונדערט אַ שטיבעל, „דאָס קאַבי נעטעל" הײסט עק, פאַר ר' יחזקאל'ן אַלײן.
ashtetl-103|בײ אַ פיער-עקענדיגש שרײב-טיש זיצט ד' יחזקאל אױף זיק „פאטעשטוהל".|בײ אַ פיער-עקענדיגש שרײב-טיש זיצט ד' יחזקאל אױף זיק „פאטעשטוהל".
ashtetl-104|ר יחזעע ט נידריג נאָר אַ דיק יודעל מיט אַ רונדיק װײס בערדעל, האַלט זע אָן מיט אײן האַנד די ברילען בײ דער נאָז, אײן גשעל פא איהם אַלע האָל אַרױס, און ר' יחזקאל הױבט ח אױף, רײמ עסאיער איער מיט'ן טיכל, זעצט עס װײטער אױף ער נאָז, פרשעדע עפּעס אָדער אָבענטערענדיק ר' טוביה'ן, זײן „מענש".|ר יחזעע ט נידריג נאָר אַ דיק יודעל מיט אַ רונדיק װײס בערדעל, האַלט זע אָן מיט אײן האַנד די ברילען בײ דער נאָז, אײן גשעל פא איהם אַלע האָל אַרױס, און ר' יחזקאל הױבט ח אױף, רײמ עסאיער איער מיט'ן טיכל, זעצט עס װײטער אױף ער נאָז, פרשעדע עפּעס אָדער אָבענטערענדיק ר' טוביה'ן, זײן „מענש".
ashtetl-105|ר' מב, אַ גיכער יוד, מט אַ דאַרען געזיכט, ענשעט אָב ר' יתזקאק מיט אײעניש און מיט אַ געלעכטערל, אַזױ װי ער װאָלט זאָגן : „אַלץ איז גוט, אַש איז גוט".|ר' מב, אַ גיכער יוד, מט אַ דאַרען געזיכט, ענשעט אָב ר' יתזקאק מיט אײעניש און מיט אַ געלעכטערל, אַזױ װי ער װאָלט זאָגן : „אַלץ איז גוט, אַש איז גוט".
ashtetl-106|ר' חזקאל, אײנגעװיקעלט אין דין לאַנגען ברײטען שלאָפראָק און אין דעם פיערקאַנטיגען היטעל, קנעטענדיק אַ שטיקעל ברױט צװשען די פינגער האָרכט אױס זײן מענש, אַ מינוט בײזערט ער זיך, אַ מינוט װערט ער װײטער גוט, װעגנדיק זיך מיט זײן מענשען בעראָטהען.|ר' חזקאל, אײנגעװיקעלט אין דין לאַנגען ברײטען שלאָפראָק און אין דעם פיערקאַנטיגען היטעל, קנעטענדיק אַ שטיקעל ברױט צװשען די פינגער האָרכט אױס זײן מענש, אַ מינוט בײזערט ער זיך, אַ מינוט װערט ער װײטער גוט, װעגנדיק זיך מיט זײן מענשען בעראָטהען.
ashtetl-107|ר' יחזקאל רוקט אױף אַ שופלאָדעל, נעהמט אַרױס אַ פּאַפּיער און זאָגט צו ר' טוביה'ן :|ר' יחזקאל רוקט אױף אַ שופלאָדעל, נעהמט אַרױס אַ פּאַפּיער און זאָגט צו ר' טוביה'ן :
ashtetl-108|— װאָלף מוז נאָך דאַנציג שרײבען, אַז דער ערשטער טראַנספּאָרט איז עקספּעדירט.|— װאָלף מוז נאָך דאַנציג שרײבען, אַז דער ערשטער טראַנספּאָרט איז עקספּעדירט.
ashtetl-109|עס עפענט זיך די טהיר און צועשט שמעקט זיך אַ קאָפּ אַרײן, זאָגענדיק : גוט מאָרגען!|עס עפענט זיך די טהיר און צועשט שמעקט זיך אַ קאָפּ אַרײן, זאָגענדיק : גוט מאָרגען!
ashtetl-110|און דערנאָך פערשװינדעט דער קאָפּ און עם בעװײזט זיך אַ הױכער פּױער מיט לאַנגע, פערבלאָטיגטע שטיוע, װאָס לאָזען נאָך זיך אַן אָנזעהענדיגען צײכען.|און דערנאָך פערשװינדעט דער קאָפּ און עם בעװײזט זיך אַ הױכער פּױער מיט לאַנגע, פערבלאָטיגטע שטיוע, װאָס לאָזען נאָך זיך אַן אָנזעהענדיגען צײכען.
ashtetl-111|דאָס פּנים איז בײ איהם רױט פון היץ, טראָפּענס שװײס רינען פון די פײכטע האָר, און ניט רײדענדיק קײן װאָרט, קנעפּעלט ער אױף זײן פּאַלטאָ, דער נאָך די װעסט, און שלעפּט פון דאָרט עפּעס אַרױס און גיט איבער אַ בריװעל ר' יחזקאל'ן.|דאָס פּנים איז בײ איהם רױט פון היץ, טראָפּענס שװײס רינען פון די פײכטע האָר, און ניט רײדענדיק קײן װאָרט, קנעפּעלט ער אױף זײן פּאַלטאָ, דער נאָך די װעסט, און שלעפּט פון דאָרט עפּעס אַרױס און גיט איבער אַ בריװעל ר' יחזקאל'ן.
ashtetl-112|בעת ר' יחזקאל לײענט, װענדט זיך דערװײל ר' טוביה צום פּױער.|בעת ר' יחזקאל לײענט, װענדט זיך דערװײל ר' טוביה צום פּױער.
ashtetl-113|ד' טוביה רעדט צו איהם, דער פּױער ענטפערט איהם אָבער בּישט.|ד' טוביה רעדט צו איהם, דער פּױער ענטפערט איהם אָבער בּישט.
ashtetl-114|ער קוקט אױף ר' יחזקאל'ן, װארטענדיק אױף עפּעס.|ער קוקט אױף ר' יחזקאל'ן, װארטענדיק אױף עפּעס.
ashtetl-115|— דעם װאָגען שפּאַנען!|— דעם װאָגען שפּאַנען!
ashtetl-116|איך אַלײן פאָהר קײן טריסק.|איך אַלײן פאָהר קײן טריסק.
ashtetl-117|— איך האָב דענסמאָל באַלד נישט געהײסען געהן מיט װאַסער, צװײ װאָכען פאַר די ימים טובים, װער װײסט ייִאָס ס'קען זיך מאַכען?|— איך האָב דענסמאָל באַלד נישט געהײסען געהן מיט װאַסער, צװײ װאָכען פאַר די ימים טובים, װער װײסט ייִאָס ס'קען זיך מאַכען?
ashtetl-118|בײ די עשטע פרעסט, אַז עס נעהמט געזונד — זאָגט ר' טוביה צו ר' יחזקאל'ן מט אַ מין װײכען געבײזער, אַלײן שױן פערשטעהענדיק אַרן װאָס עס האַנדעלט זיך.|בײ די עשטע פרעסט, אַז עס נעהמט געזונד — זאָגט ר' טוביה צו ר' יחזקאל'ן מט אַ מין װײכען געבײזער, אַלײן שױן פערשטעהענדיק אַרן װאָס עס האַנדעלט זיך.
ashtetl-119|— פערפאַלען, דאָס האָש שטעלען האָב איך געמתט, די טראַטװעס אען געװען געבונען גאַת גו, די שטריק שטאַרק, די טעג שעהן, גח עכען זיך?|— פערפאַלען, דאָס האָש שטעלען האָב איך געמתט, די טראַטװעס אען געװען געבונען גאַת גו, די שטריק שטאַרק, די טעג שעהן, גח עכען זיך?
ashtetl-120|! װאָס קען ען מאַכען ; עס איז געװען מן השמים, ה דעכען, פאַר חנוכה דעט זיך די װײכסעל שטעלען.|! װאָס קען ען מאַכען ; עס איז געװען מן השמים, ה דעכען, פאַר חנוכה דעט זיך די װײכסעל שטעלען.
ashtetl-121|— מען ארף אַנטיק'ן און סאָקאָלסקען מיטנעהמען, אױפ'ן בױדעם ליגען עטליכע הונדערט שאָק פרישע „סטראָנקעס".|— מען ארף אַנטיק'ן און סאָקאָלסקען מיטנעהמען, אױפ'ן בױדעם ליגען עטליכע הונדערט שאָק פרישע „סטראָנקעס".
ashtetl-122|די האָקעס, די שטריק — גיט אַן עצה ר' טוביה.|די האָקעס, די שטריק — גיט אַן עצה ר' טוביה.
ashtetl-123|— דאָס אײז הױבט זיך אָן ריהרען, שרײבט מען מיר, גאָט זל געען, אַז די קראַכעס זאָלען נישט זײן גרױס, נאָר טריסק דאַכט זיך יאיז אַ שטיל אָרט, עס איז נישט שטראָמיג און מיט גאָט'ס הילף, וען דאָס אײז זאָל נאָר נישט מיט אַ מאָל ברעכען, װעט מען קענען דאָס האָלץ ראַטעװען — זאָגט צום סוף ר' יחזקאל.|— דאָס אײז הױבט זיך אָן ריהרען, שרײבט מען מיר, גאָט זל געען, אַז די קראַכעס זאָלען נישט זײן גרױס, נאָר טריסק דאַכט זיך יאיז אַ שטיל אָרט, עס איז נישט שטראָמיג און מיט גאָט'ס הילף, וען דאָס אײז זאָל נאָר נישט מיט אַ מאָל ברעכען, װעט מען קענען דאָס האָלץ ראַטעװען — זאָגט צום סוף ר' יחזקאל.
ashtetl-124|— מיט גאָט'ס הילף.|— מיט גאָט'ס הילף.
ashtetl-125|— קײן גאָמבין דאַרף מען די גאָמבינער צװײ הונדערט רובל אען, און בצלאל צו ר' אברהם פּלאָצקער, זאָל ער אין שעמעניץ קױפען.|— קײן גאָמבין דאַרף מען די גאָמבינער צװײ הונדערט רובל אען, און בצלאל צו ר' אברהם פּלאָצקער, זאָל ער אין שעמעניץ קױפען.
ashtetl-126|איך האָב מורא, אַז די שעמעניצער זאָלען נישט די שעפּסען אױסכאַפּען, לאָזען טאָר מען זיך נישט.|איך האָב מורא, אַז די שעמעניצער זאָלען נישט די שעפּסען אױסכאַפּען, לאָזען טאָר מען זיך נישט.
ashtetl-127|און רײדענדיק זײנען זײ בײדע אין דער צװײטער שטוב אַרײן.|און רײדענדיק זײנען זײ בײדע אין דער צװײטער שטוב אַרײן.
ashtetl-128|דער עולם איז האַלבלעך געװען אין הױף בײם שפּײכלער די חבואה אָסװעגעז, אין דער „שטוב" זײנען נאָר געװען די אורחים, װאָס זײנען געקומען בײ נאַכט מיט תּבואה אין „שטוב" אַרײן.|דער עולם איז האַלבלעך געװען אין הױף בײם שפּײכלער די חבואה אָסװעגעז, אין דער „שטוב" זײנען נאָר געװען די אורחים, װאָס זײנען געקומען בײ נאַכט מיט תּבואה אין „שטוב" אַרײן.
